sourceId,lineId,customerId,validAfter,expiryDate,sku,attribute1,attribute2,attribute7,attribute11,userGroupEdit,userGroupViewDetails
P-0001,225b3TFmUI1f8RY,CD-00111,2019-11-08,2020-01-07,Pfx-3.3,1,19,EUR,charlene.cooper,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0001,28LQg43Vj6daNv6,CD-00019,2019-12-09,2020-01-06,Pfx-abc-4,140,18.7,EUR,kevin.kaufer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0002,8pDb9230rcoH3s9,CD-00011,2019-10-14,2019-11-15,Pfx-3.6,110,15,EUR,john.price,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0002,25Xamf96Jw1X882,CH-0034,2019-02-07,2019-03-07,Pfx-3.6,30,15,EUR,john.price,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0004,142JS4U18tMSA1w,,2019-03-03,2019-04-14,Pfx-abc-8,7,16.2,EUR,john.price,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0005,609S80784R784uk,CD-00005,2019-05-22,2019-06-05,Pfx-6.0,410,27,EUR,charlene.cooper,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0006,wzO2Y3xc63u166M,,2021-08-13,2021-08-18,Pfx-3.5,29,10.4,EUR,benny.brasser,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0006,47Z38nvCf96L6cq,CD-00061,2020-02-09,2020-02-20,Pfx-3.5,10,11.7,EUR,sam.spicer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0006,6Q30p0y3rpO8GU7,,2021-03-25,2021-05-17,Pfx-4.0,4,15,EUR,charlie.corker,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0006,E0b8a9L10924902,CG-0009,2021-07-06,2021-08-03,Pfx-5.0,120,11,EUR,benny.brasser,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0007,ADed4ksm27kJU21,CD-00117,2019-08-21,2019-08-26,Pfx-abc-2,30,15.4,EUR,charlie.corker,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0014,Jc0hxzN0BZ2l83k,,2020-06-02,2020-07-24,Pfx-abc-5,1,12,EUR,matt.mercer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0015,vJ21MC5Q41iGcrn,CH-0034,2019-11-18,2020-01-01,Pfx-2.8,120,19,EUR,charlie.corker,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0015,A7O8WPnczbwL5j5,CD-00123,2019-05-04,2019-07-01,Pfx-3.3,30,20.9,EUR,johnny.jackman,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0016,F6k7U56niYc768v,,2021-01-06,2021-01-11,Pfx-abc-2,3,12.6,EUR,benny.brasser,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0018,069Hel83mhcRxIO,CG-0007,2020-08-23,2020-09-08,Pfx-5.0,80,9,EUR,charlene.cooper,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0019,IxVpji2TW6E2Y0R,CD-00041,2020-11-05,2021-01-03,Pfx-3.2,110,11,EUR,clarke.chapman,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0019,2432SG6EM1551E7,CD-00097,2019-12-04,2019-12-12,Pfx-abc-8,20,18,EUR,benny.brasser,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0020,S6hv82EKk71604O,CD-00061,2020-05-27,2020-06-25,Pfx-3.5,70,13,EUR,tom.collins,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0024,636DHBUKF4vJT97,,2019-04-14,2019-04-23,Pfx-abc-3,17,8.1,EUR,john.price,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0024,3X5OHx103H625rG,CD-00036,2019-08-31,2019-10-02,Pfx-abc-7,550,12.1,EUR,clarke.chapman,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0027,P573sf3l0L7B9O9,CG-0025,2019-11-28,2019-12-10,Pfx-abc-5,100,9.6,EUR,timothy.toller,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0028,2bs892825uR8760,CG-0010,2021-03-01,2021-03-26,Pfx-3.4,40,12,EUR,clarke.chapman,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0031,2sUImkvDB0As608,,2021-04-25,2021-06-08,Pfx-3.5,13,10.4,EUR,benny.brasser,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0032,8hT87o5bo5p5786,CD-00151,2020-04-16,2020-04-26,Pfx-2.9,30,35.1,EUR,kevin.kaufer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0034,9i9gp81i0R307Vh,,2019-10-16,2019-10-28,Pfx-3.5,14,11.7,EUR,john.price,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0035,0nKQl05E9z03j1Q,,2020-09-20,2020-09-29,Pfx-2.9,8,31.2,EUR,tom.collins,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0035,96GG757S617JVU2,CG-0005,2020-11-23,2020-12-29,Pfx-5.0,210,9,EUR,marcus.marchand,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0038,07NjXjAD606RV34,,2019-08-14,2019-09-07,Pfx-2.9,131,31.2,EUR,kevin.kaufer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0039,3KB74091M952852,CG-0023,2020-05-16,2020-05-20,Pfx-3.5,610,10.4,EUR,johnny.jackman,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0041,ToWo02KH06Ry7eL,CD-00087,2019-10-06,2019-10-23,Pfx-3.3,10,15.2,EUR,charlie.corker,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0041,05D120iHL82qgDk,CD-00087,2019-03-19,2019-05-10,Pfx-3.4,310,12,EUR,clarke.chapman,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0043,0ytqw0022tKX069,CD-00048,2021-06-07,2021-07-04,Pfx-3.1,10,15,EUR,tom.collins,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0043,o6Z2S1d7F2DE903,CG-0025,2020-05-06,2020-05-22,Pfx-abc-3,230,9.9,EUR,sam.spicer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0055,58E6eE462n1saO6,CD-00029,2021-05-10,2021-05-20,Pfx-2.9,370,35.1,EUR,benny.brasser,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0055,401dXK62cz4x92o,,2021-06-19,2021-08-12,Pfx-abc-7,14,8.8,EUR,charlene.cooper,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0057,b1546T8H7f3A5X4,CG-0016,2020-05-03,2020-05-18,Pfx-2.9,1010,39,EUR,clarke.chapman,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0066,558h7kjXo589XG3,CH-0016,2021-08-15,2021-08-30,Pfx-6.0,190,27,EUR,clarke.chapman,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0067,6405e6C77FJKv4d,,2019-06-12,2019-08-07,Pfx-abc-3,50,8.1,EUR,john.price,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0071,000LjnJ847Yuam4,,2021-03-14,2021-04-29,Pfx-3.6,26,12,EUR,timothy.toller,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0071,8886Nl3fb1bD552,CG-0028,2019-02-20,2019-03-06,Pfx-4.0,40,13.5,EUR,sam.spicer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0072,9Qs31V6Cv2P10Px,CD-00113,2020-02-23,2020-03-15,Pfx-6.0,210,33,EUR,timothy.toller,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0077,72k9C0rO14YrTwc,CG-0027,2019-12-11,2020-01-10,Pfx-abc-7,490,12.1,EUR,sam.spicer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0081,a7yu8469M28844t,,2019-10-01,2019-10-17,Pfx-abc-3,30,9,EUR,marcus.marchand,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0083,28I489e5dzbbdfU,CG-0016,2019-02-17,2019-03-25,Pfx-2.9,230,35.1,EUR,sam.spicer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0083,Ju7QlzlSbzm86RX,CD-00037,2021-03-20,2021-05-07,Pfx-3.1,150,15,EUR,marcus.marchand,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0084,M1ry8sN02Sf1v2U,CH-0050,2019-12-31,2020-01-30,Pfx-3.1,110,16.5,EUR,clarke.chapman,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0086,e26E57hE447y641,CH-0019,2019-02-15,2019-04-05,Pfx-abc-5,160,9.6,EUR,marcus.marchand,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0086,2sP84221c3V713h,CG-0028,2020-03-23,2020-05-14,Pfx-abc-7,150,12.1,EUR,tom.collins,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0087,37eqP68R2t699c6,CD-00072,2020-07-28,2020-09-04,Pfx-abc-4,110,15.3,EUR,benny.brasser,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0092,4p5v31w9r68Cph5,CD-00071,2020-12-07,2021-01-12,Pfx-3.6,90,12,EUR,kevin.kaufer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0096,Tz75660f5M6466n,CH-0015,2019-11-13,2020-01-08,Pfx-2.8,680,19,EUR,tom.collins,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0098,T780eH03SBqA07K,CG-0016,2021-09-04,2021-09-25,Pfx-3.2,10,11,EUR,clarke.chapman,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0101,18g0X1X4cQ8x305,CD-00012,2020-04-22,2020-05-09,Pfx-abc-7,200,11,EUR,clarke.chapman,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0103,44822z21T95I1oD,,2021-04-18,2021-04-27,Pfx-abc-6,48,20.9,EUR,sam.spicer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
P-0106,64L8Q34bnOP5571,CH-0001,2021-05-07,2021-06-16,Pfx-3.5,50,14.3,EUR,matt.mercer,SalesManager,"SalesManager, SalesManagerCocktail, CFO"
