key1,key2,attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute8,attribute9,attribute10,attribute11,attribute12,attribute13,attribute14,attribute15,attribute16,attribute17,attribute18,attribute19,attribute20,attribute21,attribute22,attribute23,attribute24,attribute25,attribute26,attribute27,attribute28,attribute29,attribute30
AED,2018-01,0.2304997238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AED,2018-02,0.2603366777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AED,2018-03,0.270516379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AED,2018-04,0.2353560654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AED,2018-05,0.2597201051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AED,2018-06,0.2713709572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AED,2018-07,0.2481745317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AED,2018-08,0.2307113038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AED,2018-09,0.2677593271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AED,2018-10,0.2376958597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AED,2018-11,0.252528424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AED,2018-12,0.2625612162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AED,2019-01,0.2326371903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AED,2019-02,0.2382311858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AED,2019-03,0.2306557544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AED,2019-04,0.2476605906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AED,2019-05,0.2624112557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AED,2019-06,0.2418410556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AED,2019-07,0.256825996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AED,2019-08,0.2357055899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AED,2019-09,0.272874163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AED,2019-10,0.2675137008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AED,2019-11,0.2587174319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AED,2019-12,0.269553707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AED,2020-01,0.2401957737,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AED,2020-02,0.2676544103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AED,2020-03,0.2322569354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
