key1,key2,key3,attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute8,attribute9,attribute10,attribute11,attribute12,attribute13,attribute14,attribute15,attribute16,attribute17,attribute18,attribute19,attribute20,attribute21,attribute22,attribute23,attribute24,attribute25,attribute26,attribute27,attribute28,attribute29,attribute30
2018-01,Darmstadt,2X Split Pack L,0.2076501019,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,Darmstadt,4X Bundle,0.3168910444,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,Darmstadt,4X Split Pack L,0.3441562595,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,Darmstadt,Beef,9.2133064688,EUR,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,Darmstadt,Bottle,0.0916563011,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,Darmstadt,Grated Cheese,6.2823805494,EUR,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,Darmstadt,Lamb,27.5127957206,EUR,1/kg,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,Darmstadt,Mustard Hot,4.3545061857,EUR,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,Darmstadt,Mustard Medium,5.5698369741,EUR,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,Darmstadt,Mustard Mild,5.3548901609,EUR,1/l,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,Darmstadt,Pack L,0.0943660338,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,Darmstadt,Pack M,0.0538521488,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,Darmstadt,Pack Meal L,0.1323857661,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,Darmstadt,Pack Meal M,0.0938126372,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01,Darmstadt,Pack Meal S,0.064424038,EUR,1/EA,,,,,,,,,,,,,,,,,,,,,,,,,,,
